7.975097294505539836e-01,7.444328051448469985e-01,6.852637312566726147e-01,6.364193317454149845e-01,9.061827277213988507e-01
8.165726598612988996e-01,6.546766804161554543e-01,5.689096817658431116e-01,7.794815223047956154e-01,8.295286612955021788e-01
3.643433735414761676e-01,8.100814743586126632e-01,2.294385488066817136e-01,5.243971656256564140e-01,1.102154752996001186e+00
3.151977235228831664e-01,6.928295474781847041e-01,6.194394093835258186e-01,3.392395007855866784e-01,5.129163305161071884e-01
6.687574898810240143e-01,3.219804191409283423e-01,3.386757154042989160e-01,4.352391495762218954e-01,9.269789971993328548e-01
8.422082071538909975e-01,8.722017747158722356e-01,1.022405224872864782e+00,4.541831774363295771e-01,8.000644792629951763e-01
2.452431268235334416e-01,7.808834086331244428e-01,4.301057992598812940e-01,1.130536915000244447e+00,6.431495167205293351e-01
5.209148667189127391e-01,5.481930341039227272e-01,6.728069805913342583e-01,9.855417086557050066e-01,3.935820741905309283e-01
7.131863106923758133e-01,6.306583687281394068e-01,4.504007127573566027e-01,9.107130465133518316e-01,4.937145721767857709e-01
6.907452749151683502e-01,9.069777482737108043e-01,4.921850180284240150e-01,8.136367397491128806e-01,1.044346885326117746e+00
7.769978796849643654e-01,8.418185405768783269e-01,2.306752511305421027e-01,7.119325279220858338e-01,1.053516791089452731e+00
3.942949204811520003e-01,4.622836215817699435e-01,6.282257533046886611e-01,6.196044768602836372e-01,4.446788480621608475e-01
5.510876395837891462e-01,3.745397320275471453e-01,6.126431809697953090e-01,8.238611845254287802e-01,9.692656513273980590e-01
3.461512075646345776e-01,4.665298063330943212e-01,1.104547296555256963e+00,1.246563985704656874e+00,7.835721629837378854e-01
3.210825097675076290e-01,6.538464116458468922e-01,4.712932461282787200e-01,9.490553240114890654e-01,7.631079819319102064e-01
6.200270802417058302e-01,6.852327041460873902e-01,1.226351032157452448e+00,5.491012438192393041e-01,1.044579471164662765e+00
2.407315944617097747e-01,8.102370973909744922e-01,1.247581294272009034e+00,8.469634509853374293e-01,1.092952035678643297e+00
7.076097025918626215e-01,8.740916191384338063e-01,6.033736541504459705e-01,5.320378853718416012e-01,1.221978865641627943e+00
4.883109598515307237e-01,6.034393454825878189e-01,3.853975904569894029e-01,3.219071773010733217e-01,7.818926120245027755e-01
2.399787219128436677e-01,6.340534433164422001e-01,9.039337101637198169e-01,4.817345037628160132e-01,3.011792775476969664e-01
